driver_id,full_name,license_number,phone
1,"Ginger Allen
","36170
",633-983-5375
2,"Erika Waller
","85259
",690-143-6576
3,"Tania Herrera
","99259
",508-704-6915
4,"Frank Rojas
","02741
",055-291-5361
5,"Norma Bean
","04870
",381-865-3382
6,"Esther Gordon
","46346
",617-980-4842
7,"Wallace French
","44922
",757-712-7566
8,"Carolyn Blackwell
","27175
",509-171-3985
9,"Terence Ramsey
","15641
",805-077-8983
10,"Frankie Woodard
","98557
",691-603-3977
11,"Marisa Petersen
","51521
",606-684-3198
12,"Joni Sampson
","55311
",895-103-0253
13,"Margaret Adkins
","28971
",725-171-0695
14,"Willie Fields
","52846
",091-711-2427
15,"Connie Walters
","39575
",749-810-0289
16,"Sabrina Nichols
","69737
",260-251-9347
17,"Jasmine Marquez
","40582
",321-726-0744
18,"Edgar Conley
","10402
",840-723-9413
19,"Tonia Schaefer
","71609
",660-058-7714
20,"Darrick O'Connor
","70408
",628-953-7679
